"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.747333,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.045907,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.198459,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.723831,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,4.327835,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,1.031558,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","GY","Percentage change on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,4.837417,,
"USA","United States","CP080000","CPI: 08 - Communication","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,-0.8511271,,
"USA","United States","CP080000","CPI: 08 - Communication","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.4471165,,
"USA","United States","CP080000","CPI: 08 - Communication","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.2206017,,
"USA","United States","CP080000","CPI: 08 - Communication","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.04913678,,
"USA","United States","CP080000","CPI: 08 - Communication","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,-1.700052,,
"USA","United States","CP080000","CPI: 08 - Communication","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.5506312,,
"USA","United States","CP080000","CPI: 08 - Communication","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,-5.483102,,
"USA","United States","CP080000","CPI: 08 - Communication","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,-1.265205,,
"USA","United States","CP080000","CPI: 08 - Communication","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.536588,,
"USA","United States","CP080000","CPI: 08 - Communication","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,2.362062,,
"USA","United States","CP080000","CPI: 08 - Communication","GY","Percentage change on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,1.817034,,
"USA","United States","CP070000","CPI: 07 - Transport","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",99.59612,,
"USA","United States","CP070000","CPI: 07 - Transport","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",111.1671,,
"USA","United States","CP070000","CPI: 07 - Transport","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",113.6017,,
"USA","United States","CP070000","CPI: 07 - Transport","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",112.8519,,
"USA","United States","CP070000","CPI: 07 - Transport","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",111.1374,,
"USA","United States","CP070000","CPI: 07 - Transport","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"USA","United States","CP070000","CPI: 07 - Transport","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",96.36594,,
"USA","United States","CP070000","CPI: 07 - Transport","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",98.89544,,
"USA","United States","CP070000","CPI: 07 - Transport","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",102.8629,,
"USA","United States","CP070000","CPI: 07 - Transport","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",102.3885,,
"USA","United States","CP070000","CPI: 07 - Transport","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",98.03607,,
"USA","United States","CP070000","CPI: 07 - Transport","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",113.5301,,
"USA","United States","CP080000","CPI: 08 - Communication","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,-0.8511271,,
"USA","United States","CP080000","CPI: 08 - Communication","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.4471165,,
"USA","United States","CP080000","CPI: 08 - Communication","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.2206017,,
"USA","United States","CP080000","CPI: 08 - Communication","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.04913678,,
"USA","United States","CP080000","CPI: 08 - Communication","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-1.700052,,
"USA","United States","CP080000","CPI: 08 - Communication","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.5506312,,
"USA","United States","CP080000","CPI: 08 - Communication","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,-5.483102,,
"USA","United States","CP080000","CPI: 08 - Communication","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,-1.265205,,
"USA","United States","CP080000","CPI: 08 - Communication","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.536588,,
"USA","United States","CP080000","CPI: 08 - Communication","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,2.362062,,
"USA","United States","CP080000","CPI: 08 - Communication","GP","Percentage change from previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,1.817034,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",80.17345,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",84.12921,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",88.58466,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",92.40176,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",95.77361,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",103.587,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",107.0617,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",110.8555,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",114.4123,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",118.0597,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",122.3495,,
"USA","United States","CP060000","CPI: 06 - Health","IXNB","National Index","A","Annual","2010","2010","IDX","Index","0","Units","2013M12_100","2013M12=100",91.30258,,
"USA","United States","CP060000","CPI: 06 - Health","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","2013M12_100","2013M12=100",94.39059,,
"USA","United States","CP060000","CPI: 06 - Health","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","2013M12_100","2013M12=100",97.1895,,
"USA","United States","CP060000","CPI: 06 - Health","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","2013M12_100","2013M12=100",99.44808,,
"USA","United States","CP060000","CPI: 06 - Health","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","2013M12_100","2013M12=100",102.1742,,
"USA","United States","CP060000","CPI: 06 - Health","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2013M12_100","2013M12=100",105.0554,,
"USA","United States","CP060000","CPI: 06 - Health","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2013M12_100","2013M12=100",108.6797,,
"USA","United States","CP060000","CPI: 06 - Health","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2013M12_100","2013M12=100",111.5732,,
"USA","United States","CP060000","CPI: 06 - Health","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2013M12_100","2013M12=100",113.9064,,
"USA","United States","CP060000","CPI: 06 - Health","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2013M12_100","2013M12=100",115.2289,,
"USA","United States","CP060000","CPI: 06 - Health","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2013M12_100","2013M12=100",117.8871,,
"USA","United States","CP060000","CPI: 06 - Health","IXNB","National Index","A","Annual","2021","2021","IDX","Index","0","Units","2013M12_100","2013M12=100",120.323,,
"USA","United States","CP070200","CPI: 07.2.2 - CPI Fuels and lubricants for personal transport equipment","IXNB","National Index","A","Annual","2010","2010","IDX","Index","0","Units","2013M12_100","2013M12=100",84.07242,,
"USA","United States","CP070200","CPI: 07.2.2 - CPI Fuels and lubricants for personal transport equipment","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","2013M12_100","2013M12=100",106.3723,,
"USA","United States","CP070200","CPI: 07.2.2 - CPI Fuels and lubricants for personal transport equipment","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","2013M12_100","2013M12=100",109.8507,,
"USA","United States","CP070200","CPI: 07.2.2 - CPI Fuels and lubricants for personal transport equipment","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","2013M12_100","2013M12=100",106.781,,
"USA","United States","CP070200","CPI: 07.2.2 - CPI Fuels and lubricants for personal transport equipment","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","2013M12_100","2013M12=100",102.7951,,
"USA","United States","CP070200","CPI: 07.2.2 - CPI Fuels and lubricants for personal transport equipment","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2013M12_100","2013M12=100",75.09125,,
"USA","United States","CP070200","CPI: 07.2.2 - CPI Fuels and lubricants for personal transport equipment","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2013M12_100","2013M12=100",66.47375,,
"USA","United States","CP070200","CPI: 07.2.2 - CPI Fuels and lubricants for personal transport equipment","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2013M12_100","2013M12=100",74.96275,,
"USA","United States","CP070200","CPI: 07.2.2 - CPI Fuels and lubricants for personal transport equipment","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2013M12_100","2013M12=100",85.14909,,
"USA","United States","CP070200","CPI: 07.2.2 - CPI Fuels and lubricants for personal transport equipment","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2013M12_100","2013M12=100",82.155,,
"USA","United States","CP070200","CPI: 07.2.2 - CPI Fuels and lubricants for personal transport equipment","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2013M12_100","2013M12=100",68.93217,,
"USA","United States","CP070200","CPI: 07.2.2 - CPI Fuels and lubricants for personal transport equipment","IXNB","National Index","A","Annual","2021","2021","IDX","Index","0","Units","2013M12_100","2013M12=100",93.30566,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,4.934007,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,5.29596,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,4.308981,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,3.649116,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,4.412898,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,3.587024,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.354394,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.543541,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.208468,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,3.188003,,
"USA","United States","CP040400","CPI: 04.4 - CPI Water supply and miscellaneous services relating to the dwelling","GP","Percentage change from previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,3.633582,,
"USA","United States","CP070000","CPI: 07 - Transport","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,11.61792,,
"USA","United States","CP070000","CPI: 07 - Transport","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.190023,,
"USA","United States","CP070000","CPI: 07 - Transport","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,-0.6600554,,
"USA","United States","CP070000","CPI: 07 - Transport","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,-1.519197,,
"USA","United States","CP070000","CPI: 07 - Transport","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,-10.02131,,
"USA","United States","CP070000","CPI: 07 - Transport","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,-3.634065,,
"USA","United States","CP070000","CPI: 07 - Transport","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.624893,,
"USA","United States","CP070000","CPI: 07 - Transport","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,4.011728,,
"USA","United States","CP070000","CPI: 07 - Transport","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.4611982,,
"USA","United States","CP070000","CPI: 07 - Transport","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,-4.250852,,
"USA","United States","CP070000","CPI: 07 - Transport","GY","Percentage change on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,15.8044,,
"USA","United States","CP040100","CPI: 04.1 - CPI Actual rentals for housing","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.705229,,
"USA","United States","CP040100","CPI: 04.1 - CPI Actual rentals for housing","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.652647,,
"USA","United States","CP040100","CPI: 04.1 - CPI Actual rentals for housing","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.826102,,
"USA","United States","CP040100","CPI: 04.1 - CPI Actual rentals for housing","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,3.151898,,
"USA","United States","CP040100","CPI: 04.1 - CPI Actual rentals for housing","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,3.573885,,
"USA","United States","CP040100","CPI: 04.1 - CPI Actual rentals for housing","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,3.772802,,
"USA","United States","CP040100","CPI: 04.1 - CPI Actual rentals for housing","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.814276,,
"USA","United States","CP040100","CPI: 04.1 - CPI Actual rentals for housing","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.616825,,
"USA","United States","CP040100","CPI: 04.1 - CPI Actual rentals for housing","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.706637,,
"USA","United States","CP040100","CPI: 04.1 - CPI Actual rentals for housing","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,3.123908,,
"USA","United States","CP040100","CPI: 04.1 - CPI Actual rentals for housing","GY","Percentage change on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,2.245303,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",89.91217,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",91.7993,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",94.75756,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",97.0677,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",98.28268,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",101.0459,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",104.2778,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",108.1609,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",112.842,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",114.006,,
"USA","United States","CP040300","CPI: 04.3 - CPI Maintenance & repairs of the dwellings","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",119.521,,
"USA","United States","CP040500","CPI: 04.5 - CPI Electricity, gas and other fuels","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",97.26502,,
"USA","United States","CP040500","CPI: 04.5 - CPI Electricity, gas and other fuels","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",99.48059,,
"USA","United States","CP040500","CPI: 04.5 - CPI Electricity, gas and other fuels","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",97.07066,,
"USA","United States","CP040500","CPI: 04.5 - CPI Electricity, gas and other fuels","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",99.33082,,
"USA","United States","CP040500","CPI: 04.5 - CPI Electricity, gas and other fuels","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",103.8735,,
"USA","United States","CP040500","CPI: 04.5 - CPI Electricity, gas and other fuels","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"USA","United States","CP040500","CPI: 04.5 - CPI Electricity, gas and other fuels","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",98.15441,,
"USA","United States","CP040500","CPI: 04.5 - CPI Electricity, gas and other fuels","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",101.8838,,
"USA","United States","CP040500","CPI: 04.5 - CPI Electricity, gas and other fuels","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",103.1767,,
"USA","United States","CP040500","CPI: 04.5 - CPI Electricity, gas and other fuels","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",102.7739,,
"USA","United States","CP040500","CPI: 04.5 - CPI Electricity, gas and other fuels","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",102.4889,,
"USA","United States","CP040500","CPI: 04.5 - CPI Electricity, gas and other fuels","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",110.5727,,
"USA","United States","CP040200","CPI: 04.2 - CPI Imputed rentals for housing","IXNB","National Index","A","Annual","2010","2010","IDX","Index","0","Units","2013M12_100","2013M12=100",93.5975,,
"USA","United States","CP040200","CPI: 04.2 - CPI Imputed rentals for housing","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","2013M12_100","2013M12=100",94.68675,,
"USA","United States","CP040200","CPI: 04.2 - CPI Imputed rentals for housing","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","2013M12_100","2013M12=100",96.60841,,
"USA","United States","CP040200","CPI: 04.2 - CPI Imputed rentals for housing","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","2013M12_100","2013M12=100",98.74125,,
"USA","United States","CP040200","CPI: 04.2 - CPI Imputed rentals for housing","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","2013M12_100","2013M12=100",101.3467,,
"USA","United States","CP040200","CPI: 04.2 - CPI Imputed rentals for housing","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2013M12_100","2013M12=100",104.2985,,
"USA","United States","CP040200","CPI: 04.2 - CPI Imputed rentals for housing","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2013M12_100","2013M12=100",107.7417,,
"USA","United States","CP040200","CPI: 04.2 - CPI Imputed rentals for housing","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2013M12_100","2013M12=100",111.2917,,
"USA","United States","CP040200","CPI: 04.2 - CPI Imputed rentals for housing","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2013M12_100","2013M12=100",114.9587,,
"USA","United States","CP040200","CPI: 04.2 - CPI Imputed rentals for housing","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2013M12_100","2013M12=100",118.7833,,
"USA","United States","CP040200","CPI: 04.2 - CPI Imputed rentals for housing","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2013M12_100","2013M12=100",122.1172,,
"USA","United States","CP040200","CPI: 04.2 - CPI Imputed rentals for housing","IXNB","National Index","A","Annual","2021","2021","IDX","Index","0","Units","2013M12_100","2013M12=100",125.2635,,
"USA","United States","CPGRSE01","CPI: Services","IXNB","National Index","A","Annual","2010","2010","IDX","Index","0","Units","2013M12_100","2013M12=100",93.27792,,
"USA","United States","CPGRSE01","CPI: Services","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","2013M12_100","2013M12=100",94.88067,,
"USA","United States","CPGRSE01","CPI: Services","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","2013M12_100","2013M12=100",96.88409,,
"USA","United States","CPGRSE01","CPI: Services","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","2013M12_100","2013M12=100",99.22442,,
"USA","United States","CPGRSE01","CPI: Services","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","2013M12_100","2013M12=100",101.7935,,
"USA","United States","CPGRSE01","CPI: Services","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2013M12_100","2013M12=100",104.1351,,
"USA","United States","CPGRSE01","CPI: Services","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2013M12_100","2013M12=100",107.0843,,
"USA","United States","CPGRSE01","CPI: Services","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2013M12_100","2013M12=100",109.988,,
"USA","United States","CPGRSE01","CPI: Services","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2013M12_100","2013M12=100",113.033,,
"USA","United States","CPGRSE01","CPI: Services","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2013M12_100","2013M12=100",116.0673,,
"USA","United States","CPGRSE01","CPI: Services","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2013M12_100","2013M12=100",118.5214,,
"USA","United States","CPGRSE01","CPI: Services","IXNB","National Index","A","Annual","2021","2021","IDX","Index","0","Units","2013M12_100","2013M12=100",121.8946,,
"USA","United States","CPGRHO01","CPI: Housing","IXOB","Index","A","Annual","1993","1993","IDX","Index","0","Units","2015_100","2015=100",55.96802,,
"USA","United States","CPGRHO01","CPI: Housing","IXOB","Index","A","Annual","1994","1994","IDX","Index","0","Units","2015_100","2015=100",57.69813,,
"USA","United States","CPGRHO01","CPI: Housing","IXOB","Index","A","Annual","1995","1995","IDX","Index","0","Units","2015_100","2015=100",59.5549,,
"USA","United States","CPGRHO01","CPI: Housing","IXOB","Index","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",61.48076,,
"USA","United States","CPGRHO01","CPI: Housing","IXOB","Index","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",63.35769,,
"USA","United States","CPGRHO01","CPI: Housing","IXOB","Index","A","Annual","1998","1998","IDX","Index","0","Units","2015_100","2015=100",65.48506,,
"USA","United States","CPGRHO01","CPI: Housing","IXOB","Index","A","Annual","1999","1999","IDX","Index","0","Units","2015_100","2015=100",67.34759,,
